Product ID,title,features,description,store,details,parent_asin
1,"Aichoof 1.5 Pound Bread Pan for Baking(2-PCS), Meat Loaf Pan for Homemade Baking, Non-Stick Silicone Loaf Pan for Baking, BPA Free, Dishwasher, Microwave, Oven and Freezer Safe-Grey","['Food-grade silicone loaf pan: This is made of food-grade silicone, non-stick material for quick release and easy to clean.', 'Better heat transfer effect: The bottom of the loaf pan is designed with wavy patterns and arcs, which can better transfer heat and reinforce the bottom.', 'Silicone bread pan for baking: This silicon bread pan is so easy to use that you can make bread, toast, cake, brownie, meat loaf, etc.', 'Easy-to-use silicone bread mold: The inner wall of this loaf pan is polished, you can easily push out the bread, and it is easy to clean.', 'Operating temperature: The operating temperature of this product is -40℉~440℉, so it can be used in microwave, oven, freezer.']","['The Silicone Bread Loaf Pan is perfect for baking bread loaf, browines, fruit cakes. Etc;. Non-stick design make it very easy to take out the bread from the silicone bread loaf pan. It is made of 100% food degree silicone, eco-friendly and non-toxic to human body. It can stand the temperature up to 220°C in microwave or oven. Very easy to clean and dishwasher free.']",Aichoof,"{""Material"": ""Silicone"", ""Brand"": ""Aichoof"", ""Color"": ""Gray"", ""Shape"": ""Rectangular"", ""Special Feature"": ""Freezer Safe, Microwave Safe, Nonstick"", ""Capacity"": ""1.5 Pounds"", ""Occasion"": ""Wedding, Christmas, Birthday, Valentine's Day"", ""Included Components"": ""Cake Dish"", ""Product Care Instructions"": ""Microwave Safe, Dishwasher Safe"", ""Upper Temperature Rating"": ""220 Degrees Celsius"", ""Is Dishwasher Safe"": ""Yes"", ""Package Dimensions"": ""9.92 x 6.34 x 3.54 inches"", ""Item Weight"": ""15.3 ounces"", ""Manufacturer"": ""Aichoof"", ""Country of Origin"": ""China"", ""Best Sellers Rank"": {""Kitchen & Dining"": 113854, ""Loaf Pans"": 292}, ""Date First Available"": ""February 22, 2020""}",B0B9XV7T5Y
2,uxcell 100% Charmeuse Pure Silk Pillowcase Pillow Case Cover for Hair & Skin 19 Momme (1-Piece) Pearl White Travel(14x20inch),"['FABRIC: The silk pillowcase is made with 100% Grade A long standard mulberry silk fabric on both sides in 19 Momme 400 thread count.Hand wash', 'High-quality silk can help avoid hair from becoming knotted and matted, and it can reduce facial wrinkles. Silk never absorbs facial moisture. You will wake up with shiny hair and healthy skin', 'Benefits: Breathable, Comfortable, Healthy, Chemical-free, Anti-aging, Less Absorbent, Reducing facial wrinkles and avoiding dry/ knotted hair when you use it with long term', 'Care Instructions: Silk is a protein structure much like human hair. Suggest hand wash separately in cold water. Use a mild or specially formulated silk shampoos. Hang it on hanger and dry place away from direct sunlight. Try to iron the pillowcase on the backside when slightly damp and use a cool setting.', ""Best product for Mother's Day, Wedding Party, Anniversary Day, New Year, Spring, Summer, Autumn, Winter""]",[],uxcell,"{""Brand"": ""Uxcell"", ""Material"": ""Mulberry Silk"", ""Size"": ""Travel(14\""x20\"")"", ""Product Dimensions"": ""20\""L x 14\""W"", ""Color"": ""Pearl White"", ""Closure Type"": ""Zipper"", ""Product Care Instructions"": ""Hand Wash Only"", ""Pattern"": ""Solid"", ""Number of Items"": ""1"", ""Thread Count"": ""400"", ""Fabric Type"": ""Mulberry Silk,silk"", ""Number of Sets"": ""1"", ""Number of Pieces"": ""1"", ""Item Weight"": ""1.76 ounces"", ""Manufacturer"": ""uxcell"", ""Item model number"": ""SYNCFHK004239"", ""Best Sellers Rank"": {""Home & Kitchen"": 293907, ""Bed Pillow Pillowcases"": 580}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""April 29, 2017""}",B07GQRYWZ6
3,EZ Tofu Press- Best Tofu Press for Extra Firm Tofu | Easily Remove Water for Flavorful and Firm Tofu | Made in The USA,"['Plastic', 'Made in the USA', 'User-Friendly Design | This distinct tofu presser was designed for simplicity. A standard tofu maker consists of springs and elastic bands that can wear out and break. Make your tofu extra firm by simply placing your tofu block on the centering marks of EZ Tofu Press and tightening the knobs! This user-friendly design is what makes EZ tofu press dishwasher safe!', 'Say goodbye to DIY | The days of pressing tofu with a ramshackle homemade tofu maker kit are over! Press tofu with EZ Tofu Press by simply adding tension every 2-3 minutes until water is removed!', 'All Aboard the Tofu Xpress | In 15 minutes or less EZ Tofu Press will transform your water-logged organic tofu into an extra firm tofu block that is ready to be marinated and sliced into mouthwatering cubes. A very good addition to your kitchen gadgets.', 'Smooth | This organic tofu presser includes a stainless steel grommet top plate which allows for smoother pressing and eliminates plastic from getting into tofu like other brands.', 'Multi-Use | EZ tofu press can be used with most tofu mold sizes, both small and large portions can be press dried. This presser may also be used as a paneer presser to make homemade paneer.']",[],EZ Tofu Press,"{""Product Dimensions"": ""9 x 5.25 x 4 inches"", ""Item Weight"": ""1.1 pounds"", ""Manufacturer"": ""EZ Tofu Press"", ""Country of Origin"": ""USA"", ""Item model number"": ""N5-0GFL-H9GU"", ""Best Sellers Rank"": {""Kitchen & Dining"": 16743, ""Food Strainers"": 108}, ""Is Discontinued By Manufacturer"": ""No"", ""Specific instructions for use"": ""Press Tofu and Homemade Paneer"", ""Fabric Type"": ""Plastic, Stainless Steel"", ""Care instructions"": ""Dishwasher Safe"", ""Dishwasher compatible"": ""Yes"", ""Number of pieces"": ""1"", ""Warranty Description"": ""180."", ""Batteries required"": ""No"", ""Included Components"": ""EZ Tofu Press, Manual"", ""Import"": ""Made in the USA""}",B007LLGMG2
4,"12 Inch Home Letters with Wreath Wall Decor Living Room Black Wooden Home Sign Modern Farmhouse Decor Flower Garland Decoration Hanging Home Decor for Entryway Kitchen,Housewarming Present","['You will receive: you receive 3 pieces of black wooden letters, which contains large ""H,"" ""M,"" ""E"" and 1 piece green wreath in this package, which together form the words ""home,"" beautiful and ingenious decoration to adorn your home', 'Add natural and artistic sense: the 3 wooden letter H, M, E are finished with a rustic wood paint, while the letter O is a green wreath, which looks natural and refreshing, a contrast green color adds a modern and playful touch to the sign as an entire, nicely fit your rustic furniture style and bring your home artistic sense', 'General dimension: the wood home wall letters\xa0decoration measures approx. 30 x 30 cm/11.8 x 11.8 inch, and the green wreath measures approx. 30 cm/11.8 inch in diameter and 7 cm/2.75 inch in depth, proper size to decorate your house', 'Scope of applications: you can display the home sign wall letters on living room, kitchen, dining room, mantels, shelves, entryway table to create a warm and welcoming ornament for your home, also nice gifts choice for a wedding, birthday, housewarming and many other occasions', 'Safe and reliable: these wooden letters are non-toxic and no odd smell for safe use, durable and reliable, support you long lasting use, the green wreath is crafted with realistic artificial branch in pleasing tones, looks natural and delicate, never wither and fall, can serve you long time']","['3 Pieces 12 inch black wooden letters decorative home signs wall letters with green wreath flower garland for farmhouse living room, bedroom, kitchen, doorway decoration  Features:  Multiple applications: These decorative wooden letters add a nice touch to your living room decor, dining room decor, kitchen decor and any other family room decor. Fill in empty areas with this beautifully carved ""Home"" sign decor, can also be applied in wedding, birthday, anniversary, celebration and many other occasions.  Durable to use: These wooden letters are non-toxic and no odd smell for safe use, durable and reliable, support you long lasting use, the green wreath is crafted with realistic artificial branch in pleasing tones, looks natural and delicate, never wither and fall, can serve you long time.  Specification: Material: wood, artificial branch Color: as picture shows Size: Wooden letters: approx. 30 x 30 cm/11.8 x 11.8 inch Flower garland: approx. 30 x 7 cm/ 11.8 x 2.75 inch  Note: Please allow a little error on the size due to manual measurement. The color might exist slightly difference due to different displays.']",Jetec,"{""Item Weight"": ""1.3 pounds"", ""Manufacturer"": ""Jetec"", ""Best Sellers Rank"": {""Home & Kitchen"": 505822, ""Wreaths"": 793}, ""Diameter"": ""11.8 Inches"", ""Batteries required"": ""No"", ""Color"": ""Green"", ""Brand"": ""Jetec"", ""Material"": ""Wood"", ""Mounting Type"": ""Wall Mount"", ""Shape"": ""Letters""}",B08D959R43
5,EnviroCare Replacement Micro Filtration Vacuum Cleaner Dust Bags Designed to Fit Bissell Style 1 and 7 Uprights 18 Pack,"['18 EnviroCare Replacement Micro Filtration Vacuum Bags to fit: Fits PowerForce 3522 series vacuums, PowerGlide 3545 series vacuums, Bissell Plus 3350 series vacuum cleaners and BISSELL Lift-Off 3554 series vacuums.', 'Designed to Fit Bissell Plus 3550 Series Uprights 3522 3522-1 3522-4 3522-5 3522-6 3525 3545 35451 3545-2 3545-3.', '99.7% Filtration Traps Microscopic Particles and Allergens', 'Manufactured by EnviroCare Technologies the leader in premium aftermarket Vacuum bags and Filters']",[],EnviroCare,"{""Product Dimensions"": ""8 x 3.8 x 8.9 inches"", ""Item Weight"": ""1.5 pounds"", ""Manufacturer"": ""EnviroCare"", ""Item model number"": ""840"", ""Best Sellers Rank"": {""Home & Kitchen"": 55741, ""Replacement Upright Vacuum Bags"": 42}, ""Is Discontinued By Manufacturer"": ""No"", ""Batteries required"": ""No"", ""Compatible Devices"": ""Vacuum Cleaner"", ""Brand"": ""EnviroCare"", ""Special Feature"": ""Premium"", ""Number of Items"": ""18"", ""Item Dimensions LxWxH"": ""8 x 3.8 x 8.9 inches""}",B00P8FTHFG
6,"FUNTRESS Pictures Frame Collages for Diplomas Wall Hanging Poster Frame Wooden Living Room Pictures Frame with Mat (10x14 2 Pieces, Black)","['1.The FUNTRESS Pictures Frames Made of Solid Wood,Environmental Paint,High Quality and Durable.Handmade Frames Ready to Hang the Frames on the Wall of Living Room&Baby Room&Stair Case', '2.Frames Size:2 Pieces 10x14 Photo Frames,Fits 10x14 Photo&Pictures.Actual Frame size (finished size) is 11.4x15.4 Inch and the Frame is 0.7 Inch Wide.Wide Lines Give More Beauty to Photos&Pictures.', '3.Black Color Pictures Frames,It is Safe and Reliable to Use Highly Environmentally Friendly Non-toxic Paint.Raw Material Pine Boards are Steamed and Dried at High Temperature.The Frames are Small Deformation,Good Color and Texture.', '4.Each Frame is Polished 3 Times and Processed by 3 Different Polishing Groups to Check Each Other.Hand Polishing,Fine Work.Frames with Sharp Edges and Corners are of High Quality.', ""5.We are Committed to Creating Excellent Living Room,Staircase,Children's Room Wall Decoration Art,So that a Good Memory of Three-dimensional Presentation in Our lives,In Rrder to Achieve This Goal,We Promise to Ensure the Quality of Photo Frame Products for One year. If There is Any Requirment,Please Contact Us to Solve It.""]","['2 Pieces 10x14 Picture Frame Fit documents, posters, diamond painting, certificates or A4 paper']",FUNTRESS,"{""Brand"": ""FUNTRESS"", ""Color"": ""Black"", ""Product Dimensions"": ""15.4\""L x 11.4\""W"", ""Shape"": ""Rectangular"", ""Mounting Type"": ""Wall Mount"", ""Frame Type"": ""Poster Frame"", ""Frame Material"": ""Wood"", ""Finish Type"": ""Paint,Polished"", ""Theme"": ""Wood"", ""Target Audience"": ""Unisex Adult"", ""Cover Material"": ""Paper"", ""Unit Count"": ""2 Count"", ""Item Weight"": ""2.64 pounds"", ""Manufacturer"": ""FUNTRESS"", ""Best Sellers Rank"": {""Home & Kitchen"": 55731, ""Wall & Tabletop Picture Frames"": 540}, ""Finish types"": ""Paint,Polished"", ""Number of pieces"": ""2"", ""Batteries required"": ""No""}",B09B6MCGY2
7,iKNOW FOTO Turquoise Wall Decor for Bedroom 3 Piece Canvas Wall Art Teal Blue Rose Flowers Pictures Prints Black and White Painting Framed Artwork Ready to Hang Each Size 12x16,"['SIZE:Each Panel is 12x16inch, total 3pcs/set', 'High definition picture photo prints on canvas with vivid color on thick high quality canvas to create the look and feel of the original nature and masterpiece', 'Our canvas is stretched tightly over edges of a sturdy,wooden stretched bar frame', 'This amazing canvas print is the perfect enhancement for your living room,Kitchen,bedroom,bathroom or office', 'Due to different brand of monitors, actual wall art colors may be slightly different from the product image']",[],iKNOW FOTO,"{""Size"": ""12x16inchx3pcs"", ""Product Dimensions"": ""16\""L x 12\""W"", ""Number of Items"": ""3"", ""Orientation"": ""Landscape"", ""Shape"": ""Rectangular"", ""Theme"": ""Rose"", ""Frame Type"": ""Wrapped Canvas"", ""Wall Art Form"": ""Painting"", ""Material"": ""Polyester"", ""Color"": ""Black"", ""Style"": ""Art Deco"", ""Room Type"": ""Bathroom,Bedroom,Kitchen,Living Room,Office"", ""Brand"": ""iKNOW FOTO"", ""Frame Material"": ""Pine Wood"", ""Mounting Type"": ""Wall Mount"", ""Item Weight"": ""2.18 pounds"", ""Manufacturer"": ""iKNOW FOTO"", ""Item model number"": ""iK2321"", ""Best Sellers Rank"": {""Home & Kitchen"": 1378116, ""Posters & Prints"": 74380}, ""Number of pieces"": ""3"", ""Batteries required"": ""No""}",B08X49W14Y
8,"LuxStep Kitchen Mat Set of 2 Anti Fatigue Mat, Non Slip Kitchen Rugs and Mats Waterproof Memory Foam Kitchen Rug, Standing Desk Mat Floor Mats for House,Sink,Office,Kitchen (Chocolate)","['😍Extra Thick for Comfort: 0.4inch(10mm) thick kitchen floor mat provides more cushion and stability. Our anti fatigue mat is safer and more comfortable. Perfect for people who stand for long periods of time, and help relieve back pain, pressure of your knees,and the fatigue of your feet caused by standing.', '😍Waterproof and Easy Care: when water, stains or oil splashes on the kitchen mats, rinse off with cold water or wipe clean with a wet cloth and let it air dry for the daily care. This simple care routine saves your time and ensures your mat will be built to last for years to come.', '😍Non-Slip Texture: There is a unique non-slip texture design on the surface and the bottom of the standing mat for extra strong skid resistance that make mat keep in place well. This non slip memory foam kitchen mat have excellent grip so that you can safely stand on the standing desk mat without worrying about getting injury!', '😍Premium Materials: The antifatigue kitchen mats are made of high-quality PVC and thick foam. The premium material of floor mats for house will determine the durability, comfort, elasticity, softness. It keeps new as original even with continuous use.', '😍The kitchen floor mats underlay should be clean, flat, and dry before placing the mat on the floor. Water or dust under mat may cause slippage.']",[],LuxStep,"{""Brand"": ""LuxStep"", ""Size"": ""17\""x29\""+17\""x47\"" -0.4 inch"", ""Material"": ""Leather"", ""Weave Type"": ""Machine Made"", ""Pile Height"": ""Low Pile"", ""Construction Type"": ""Machine Made"", ""Back Material Type"": ""Polyvinyl Chloride"", ""Color"": ""Chocolate"", ""Indoor/Outdoor Usage"": ""Indoor"", ""Is Stain Resistant"": ""Yes"", ""Product Care Instructions"": ""Hand Wash Only"", ""Pattern"": ""Geometric"", ""Shape"": ""Rectangular"", ""Special Feature"": ""Waterproof, Non-Slip, Stain Resistant"", ""Room Type"": ""Laundry Room, Kitchen"", ""Product Dimensions"": ""47\""L x 17\""W"", ""Rug Form Type"": ""Throw Rug"", ""Style"": ""Modern"", ""Occasion"": ""Housewarming"", ""Age Range (Description)"": ""Adult"", ""Number of Pieces"": ""2"", ""Item Thickness"": ""0.5 Inches"", ""Item Weight"": ""4.64 pounds"", ""Manufacturer"": ""LuxStep"", ""Best Sellers Rank"": {""Kitchen & Dining"": 8683, ""Kitchen Rugs"": 46}, ""Date First Available"": ""April 27, 2021""}",B09MMJKHV5
9,"Tervis 1293211 Harry Potter-the Marauder's Map Insulated Tumbler with Clear and Black Hammer Lid, 30 oz Stainless Steel, Silver","['Double-Wall Vacuum Insulation to keep hot drinks hot and cold drinks cold', 'BPA Free', 'Premium grade copper lined 18/8 stainless steel', 'Limited Lifetime', '24 hours ice cold 8 hours piping hot']","[""Grab a Marauder's Map tumbler for access to every corner in Hogwarts—and long-lasting hot or cold potions and elixirs Splash-proof shatter-proof and easy-close lid Up to 24 hours ice cold or 8 hours piping hot Comes with a standard lid and a lifetime""]",Tervis,"{""Brand"": ""Tervis"", ""Material"": ""Stainless Steel"", ""Color"": ""Silver"", ""Capacity"": ""30 Fluid Ounces"", ""Special Feature"": ""Manual"", ""Style"": ""Contemporary"", ""Theme"": ""Food & Beverage"", ""Recommended Uses For Product"": ""Travel, Home, Dining"", ""Occasion"": ""Halloween"", ""Included Components"": ""Tumbler & Lid"", ""Specific Uses For Product"": ""Cold Drinks"", ""Shape"": ""Round"", ""Pattern"": ""Solid"", ""Product Care Instructions"": ""Hand Wash Only"", ""Age Range (Description)"": ""Adult"", ""Material Feature"": ""Insulated"", ""Reusability"": ""Reusable"", ""Unit Count"": ""1.0 Count"", ""Product Dimensions"": ""4 x 4 x 8.5 inches"", ""Number of Items"": ""1"", ""Package Type"": ""Standard Packaging"", ""Item Weight"": ""15.2 ounces"", ""Manufacturer"": ""Tervis Tumbler Company"", ""Country of Origin"": ""China"", ""Item model number"": ""01293211"", ""Best Sellers Rank"": {""Kitchen & Dining"": 306941, ""Tumblers & Water Glasses"": 11891}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""June 25, 2018""}",B086BXTRGJ
10,"ZG Home Memory Foam Cervical Premium Pillow with Hypoallergenic Cover, Orthopedic Contour Pillow, Neck & Shoulder Pain Relief for Back, Side & Stomach Sleepers (24”x15”) - Queen","['🌙【PRESSURE RELIEF】 Ergonomics design, conforms to the natural curve of your body and supports your head and neck. Reduces neck & back pain, alleviates shoulder stiffness, promotes proper spine alignment, and helps your muscles relax. Best pressure relief for you.', '🌙【DESIGN FOR COMFORT FEELING】Suit all kinds of sleepers(side, back, stomach). Soft and slow rebound memory foam contour pillow relieve snoring and orthopedic pain and ensure to give you the superior comfort. ZG-Home cervical support pillow is ideal for the elderly, office workers, students, snorers, and those with sleep disorders.', '🌙【MEMORY FOAM】 Make from upgrade memory foam and ensure the pillow can remain consistent firmness and comfortable soft all year. ZG-Home Cervical Pillow is odour free, and contain no formaldehyde, no mercury, lead or heavy metals, bring you a safe and healthy sleeping night.', '🌙【FOR ALL SLEEP HABITS】 The memory foam pillow is queen size 24’’×15’’. Designed with 2 sides, one higher (5"") and one lower (4. 5"") , which allows it to be perfect for all kinds of sleepers (side / back / stomach). Here is always one side that suits your sleep habits', '🌙【HYPOALLERGENIC VELVET PILLOW COVER】The hypoallergenic material is breathable and fresh that will not feel crinkly and prevent the over heating. Soft velvet made memory foam pillow cover, it is full removable and machine washable. More convenient for your healthy and easy life.']",[],ZG Home,"{""Brand"": ""ZG Home"", ""Special Feature"": ""Washable, Removable Cover"", ""Color"": ""White"", ""Size"": ""1 Pack - Soft"", ""Fill Material"": ""Memory Foam"", ""Shape"": ""Rectangular"", ""Age Range (Description)"": ""Adult"", ""Use for"": ""Neck"", ""Material"": ""Memory Foam"", ""Item Firmness Description"": ""Soft"", ""Product Care Instructions"": ""Machine Wash"", ""Number of Pieces"": ""1"", ""Material Feature"": ""Hypoallergenic, Breathable"", ""Variety"": ""Memory Foam,Memory,Cervical Pillow"", ""Material Type Free"": ""Pesticide Free"", ""Fabric Type"": ""Velvet Cover"", ""Model Name"": ""ZG-102"", ""Package Dimensions"": ""17.83 x 6.85 x 6.18 inches"", ""Item Weight"": ""2.79 pounds"", ""Manufacturer"": ""ZG Home"", ""Country of Origin"": ""China"", ""Item model number"": ""Soft 1 PK"", ""Best Sellers Rank"": {""Home & Kitchen"": 215394, ""Neck & Cervical Pillows"": 326}, ""Date First Available"": ""March 23, 2020""}",B09DS2B8BG
