id,rating,title,text,parent_asin,helpful_vote,label
1,4,Stylish and Functional,"It's compact yet fits all my daily knives. The bamboo looks great, though the block is a bit heavier than I expected. Easy to clean and the rods hold blades securely.",B083GM32SD,0,Fake
2,1,"So Disapointing, I'm Gutted","I was overjoyed to find a figurine that matched my baby's nursery theme, but oh man, what a let down. When it arrived, the box had a tear on the side, and I noticed a small chip on the figurine's foot right away. The paint job looks sloppy around the basket, as if some portion was rushed or got smudgged in transit. I also can't believ how small it is for the price, feels like a cheap knockoff rather than a high-end piece of art. The listing said 'handmade in Spain' but I'm starting to wonder if they even checked for quality before shipping it out. Tried contacting the manufacturer, but they gave me a run-around about contacting the seller, which just wasted more time. My cousin used to collect LLADRÓ, and hers look impeccable, so I'm perplexed how I ended up with something so subpar. It's quite frustrating because this was supposed to be a keepsake for my child, yet it doesn't even stand upright without wobbling. The color on the basket is also slightly discolorered, kind of a dull grey, not like the crisp white I expected. I see tiny rough edges around the hair, like the mold wasn't properly finished or something was missed. If I'd known I'd get such a flawed piece, I'd have looked for a secondhand one that was at least well-cared for. Part of me wonders if I just got a defective unit, but the reponse from customer service hasn't been helpful. I tried to fix the wobble by adjusting the base with a small felt pad, but that shouldn't be necessary for a brand-new figurine. My older sister was so disappointed when she saw it, she told me to return it immediatly. Honestly, I'd rather buy a different brand next time because this fiasco has cost me time, money, and loads of frustration.",B0006V2XBW,0,Fake
3,5,Top quality,"This rack is perfect. Very sturdy, easy to store and will hold two loads of laundry!",B0C5M2K8TS,1,Real
4,4,Easy to put together and stable,Easy to put together and stable.  Product came with a red stain on the lower self and some markings on other markings on all three shelves.  Didn't return it because these flaws they won't show where I placed the item.,B007WUX5GW,0,Real
5,4,Cozy but Wrinkles Some,"I love the pattern, and the cotton feels fresh. It did come out of the dryer a bit wrinkled, so I ended up ironing it. Aside from that, it's lovely and suits my room perfectly.",B089LG6FVJ,0,Fake
6,5,Bathroom Space Saver,"This cabinet is perfect in my small guest bathroom. It's stable and holds towels and extras with no trouble. Assembly was quick, and the white finish is super cute.",B0BLHL9K9R,26,Fake
7,5,Great for Indoor Garden Platform,I needed an indoor garden platform to install grow lights as well as the plants.  These usually cost over $900.00 as they include their own grow lights.  I already own mine and didn't want to spend that much money.  When I received this folding storage I found that my grow lights fits just perfectly between the side support.  I wish the height was adjustable but still it works just fine.  This storage frame helped me organize and clean up all my indoor garden plants and their accessories.,B01LYWSP4P,1,Real
8,5,Perfect,As advertise,B00YQJSWE2,0,Real
9,5,Great purchase,This is exactly what I was looking for. Amazing quality and design. I think I might buy a few more in different colors.,B0C3MR4DPT,1,Real
10,3,Not Bad for the Price,"I used these frames for my diploma display in the hallway. They look fairly decent, though one corner came scuffed. The wood feels slightly flimsy but is still holding up. Also the mat was a bit off-white. I'd say they're okay if you're on a budget.",B09B6MCGY2,3,Fake
11,1,Hard to Get On Couch,"I had to return.  I struggled with properly getting them on our couch.  They were excellent quality and I wished they would have worked.  My couch was within the stated measurements, so Im not sure what the problem was.",B09CQ62WNT,0,Real
12,1,No good.,Truly disappointed. Sorry.,B014P7ZDOG,0,Fake
13,5,I love these sheets,I have been looking for bamboo sheets for a while. A friend recommended these. I literally don't want to get out of bed in the morning because they are so comfortable. Worth every penny to have the coolness and comfort that I needed in sheets. Plus them being organic is a winner too!,B0BZF9183Q,0,Real
14,5,Well made and easy to use,My spiralizer arrived today.  I decided to use it right off and it was extremely easy to use.  It attached easily to our counter and was sturdy and well made.  Very happy with my purchase.,B09Q19Z5FT,1,Real
15,3,Decent pillow.,"Not perfect, though.",B09DS2B8BG,0,Fake
16,5,comes apart easily,size is great for a small room,B0C2GQ8896,0,Real
