id,rating,title,text,parent_asin,helpful_vote,label
1,4,Stylish and Functional,"It's compact yet fits all my daily knives. The bamboo looks great, though the block is a bit heavier than I expected. Easy to clean and the rods hold blades securely.",B083GM32SD,0,Fake
2,1,"So Disapointing, I'm Gutted","I was overjoyed to find a figurine that matched my baby's nursery theme, but oh man, what a let down. When it arrived, the box had a tear on the side, and I noticed a small chip on the figurine's foot right away. The paint job looks sloppy around the basket, as if some portion was rushed or got smudgged in transit. I also can't believ how small it is for the price, feels like a cheap knockoff rather than a high-end piece of art. The listing said 'handmade in Spain' but I'm starting to wonder if they even checked for quality before shipping it out. Tried contacting the manufacturer, but they gave me a run-around about contacting the seller, which just wasted more time. My cousin used to collect LLADRÓ, and hers look impeccable, so I'm perplexed how I ended up with something so subpar. It's quite frustrating because this was supposed to be a keepsake for my child, yet it doesn't even stand upright without wobbling. The color on the basket is also slightly discolorered, kind of a dull grey, not like the crisp white I expected. I see tiny rough edges around the hair, like the mold wasn't properly finished or something was missed. If I'd known I'd get such a flawed piece, I'd have looked for a secondhand one that was at least well-cared for. Part of me wonders if I just got a defective unit, but the reponse from customer service hasn't been helpful. I tried to fix the wobble by adjusting the base with a small felt pad, but that shouldn't be necessary for a brand-new figurine. My older sister was so disappointed when she saw it, she told me to return it immediatly. Honestly, I'd rather buy a different brand next time because this fiasco has cost me time, money, and loads of frustration.",B0006V2XBW,0,Fake
3,5,Five Stars,Good pillow that suits my needs just fine. Your results may vary.,B09DS2B8BG,1,Real
4,5,Beautiful,The colors are brilliant and the size was just right 12x16 I definitely recommend,B08X49W14Y,3,Real
5,4,Cozy but Wrinkles Some,"I love the pattern, and the cotton feels fresh. It did come out of the dryer a bit wrinkled, so I ended up ironing it. Aside from that, it's lovely and suits my room perfectly.",B089LG6FVJ,0,Fake
6,5,Bathroom Space Saver,"This cabinet is perfect in my small guest bathroom. It's stable and holds towels and extras with no trouble. Assembly was quick, and the white finish is super cute.",B0BLHL9K9R,26,Fake
7,1,Not worth the money,This is cheap looking and cheaply made. Not worth $20. Maybe if it were priced around $3.00. Not happy with this purchase.,B08D959R43,0,Real
8,1,More like Instant-break,"The instapot broke itself. We were cooking rice  with the appliance not even filled to capacity and moisture somehow made it into the control panel and the unit quit functioning altogether. After several days of drying, the instapot was still not functional. This is cheap equipment.",B09FZMC5KK,5,Real
9,5,Getting the job done,"Bought it for my husband bc our property has a ton of mature trees, this blower  is amazing bc it saves time and energy, getter er dun",B08PKYS9NG,0,Real
10,3,Not Bad for the Price,"I used these frames for my diploma display in the hallway. They look fairly decent, though one corner came scuffed. The wood feels slightly flimsy but is still holding up. Also the mat was a bit off-white. I'd say they're okay if you're on a budget.",B09B6MCGY2,3,Fake
11,2,Color is pretty faded...,"I just received this and when I look at the pictures in the ad and people's posts, it looks more defined than the one I received. Mine seems VERY faint. I got the gray/white. It is very soft, I'm just disappointed in what it looks like.",B089LG6FVJ,0,Real
12,1,No good.,Truly disappointed. Sorry.,B014P7ZDOG,0,Fake
13,4,Very nice crockpot,"Only drawback for me is I cannot remove the locking mechanism on the lid.  I do not transport the crockpot so I do not need these locks and they get in the way.  The crockpot in general works great, love the keep warm setting and the oval shape. Also, the rubber seal on the lid keeps heat locked in the unit.",B07RK4KG5R,0,Real
14,5,Es relajante y ayuda a mis rodillas,Esperaba que fuera m√°s grueso para mejor descanso pero aun as√≠ ayuda. La calidad es buena y se limpia con la trapera muy facil. Si te sirve la sugerencia trata de conseguirlo m√°s abullonado.,B09MMJKHV5,0,Real
15,3,Decent pillow.,"Not perfect, though.",B09DS2B8BG,0,Fake
16,5,Perfectly wonderful,"This douve cover is absolutely wonderful, I just love the bold, jump off the bed roses and at such a great price. Ladies, if you only but yourself one thing make this it, you won't regret it at all",B014P7ZDOG,4,Real
